hmid,moment,concepts,agency,social,age,country,gender,married,parenthood,reflection,duration
107690,My son put on his hat for the first time by himself (he's one year old) and came to me smiling to show that he had done so.,family,no,yes,32,USA,m,married,y,3m,all_day_im_still_feeling_it
107697,celebrated my 45th anniversary with the love of my life,party|family,yes,yes,60,USA,f,married,y,3m,all_day_im_still_feeling_it
107702,I received compliment from a surgeon on a job well done.,career,yes,yes,26,USA,f,single,n,3m,half_a_day
107704,My girlfriend made lunch for me tomorrow.,food,yes,yes,25,USA,m,single,n,3m,all_day_im_still_feeling_it
107710,I stepped out of my comfort zone and made a new friend.,shopping,yes,yes,35,USA,f,married,y,3m,all_day_im_still_feeling_it
107711,My mother and my brother came half way across the country to visit me.,family|vacation,yes,yes,19,USA,f,single,n,3m,at_least_one_hour
107717,I was happy when my partner made dinner for me on Mother's Day.,food|family,no,yes,34,USA,f,married,y,3m,all_day_im_still_feeling_it
107724,I met up with an old friend who I had not seen in a long time.,conversation,yes,yes,27,USA,m,single,n,3m,at_least_one_hour
107725,I felt very happy when I bought my boyfriend his birthday gift because I knew he would really like it.,romance|shopping,yes,yes,24,USA,f,single,n,3m,half_a_day
107731,An idea of mine was used for a system wide promotion at work.,career,no,no,28,USA,f,married,y,3m,all_day_im_still_feeling_it
107740,"I bought home 2 kittens for my wife, who had been patiently wanting house cats for years.",animals,yes,yes,29,USA,m,married,y,3m,all_day_im_still_feeling_it
107749,Took my daughters to the circus,family,yes,yes,38,USA,m,married,y,3m,half_a_day
107775,I got a 3.50 bonus today from a HIT I did,career,yes,no,24,USA,m,single,n,3m,at_least_one_hour
107785,My husband bought the family a large swimming pool.,family|shopping,no,yes,32,USA,f,married,y,3m,half_a_day
107786,I got a brand new pair of Nikes half off.,shopping,yes,no,23,USA,m,single,n,3m,half_a_day
107823,When I had a good day on Mother's day with my mother and grandmother.,family,yes,yes,28,USA,m,single,n,3m,half_a_day
107826,I got to eat a favorite meal.,food,yes,no,32,USA,m,single,n,3m,all_day_im_still_feeling_it
107827,My team winning a playoff game.,entertainment,yes,yes,28,USA,m,single,n,3m,at_least_one_hour
107847,I had a delicious panzerotti for dinner.,food,yes,no,18,CAN,m,single,n,3m,a_few_minutes
107857,I got hired on as a fellow for one of my professors.,career,no,yes,26,USA,m,single,n,3m,half_a_day
107867,Seeing my friend,entertainment,yes,yes,24,USA,f,single,y,3m,all_day_im_still_feeling_it
107893,YESTERDAY AT THE CASINO I WON SOME MONEY WHEN I DECIDED TO PLAY POKER AND HIT A COUPLE HOT HANDS.,entertainment,yes,no,31,USA,m,married,y,3m,all_day_im_still_feeling_it
107938,I am happy that my grand kids are finally able to g to college and I know that they will do well in the future.,education|family,no,yes,65,USA,m,married,y,3m,all_day_im_still_feeling_it
107944,I was able to identify a problem and work right away and pass along the appropriate info to my colleagues so we could get a new module delivered to clients this month.,career,yes,yes,32,USA,m,single,n,3m,half_a_day
107945,I bought a pair of shoes that I like for a good price at the thrift shop today.,shopping,yes,no,34,USA,m,single,n,3m,all_day_im_still_feeling_it
107949,visiting my natal town fair with my wife,family,yes,yes,32,MEX,m,married,n,3m,all_day_im_still_feeling_it
107952,I met someone new during an Easter party and we have become really good friends since then.,party|conversation,yes,yes,20,USA,m,single,n,3m,all_day_im_still_feeling_it
107966,I helped my grandpa fix a door and he was thankful,family,yes,yes,36,USA,m,single,n,3m,all_day_im_still_feeling_it
107969,I had coffee with a friend I had not seen in a long time and it was fun to catch up with her.,conversation,yes,yes,41,USA,f,single,n,3m,all_day_im_still_feeling_it
107983,I got lunch with my girlfriend and thought the service was good.,food|romance,yes,yes,23,USA,f,single,n,3m,at_least_one_hour
107995,My girlfriend and I went to a new place to bike and it was very nice.,romance|exercise,yes,yes,21,USA,m,single,n,3m,half_a_day
107997,I WENT TO SHOPPING,shopping,yes,no,24,IND,m,married,y,3m,half_a_day
108003,My family and I went out for dinner and a movie.,family|food|entertainment,yes,yes,34,USA,m,married,y,3m,all_day_im_still_feeling_it
108004,I watched a basketball game that had an exciting ending and was one of the greatest upsets in history.,entertainment,yes,no,36,USA,m,single,n,3m,half_a_day
108005,Linda told me I did a good job responding to an email when she was or of the office,career,no,yes,31,USA,f,single,n,3m,half_a_day
