,hmid,moment,concepts,agency,social,age,country,gender,married,parenthood,reflection,duration
0,56905,My husband took me to a car show and out to eat for lunch today.,food|family|romance,yes,yes,45,USA,f,married,y,24h,at_least_one_hour
1,94260,"Two weeks ago, I had an anniversary at my job, its amazing that I'm still at my place of employment after 15 years and still loving it.",career,yes,no,51.0,USA,f,single,y,3m,all_day_im_still_feeling_it
2,48995,I achieved my income goal for the day.,career,yes,no,37,USA,m,single,n,24h,a_few_minutes
3,113503,"Being able to take my mother out to eat lunch after the dentist, as I have been trying to work more online.",food|family,yes,yes,36,USA,m,single,n,24h,all_day_im_still_feeling_it
4,37838,I was cuddling with my girlfriend in bed.,romance,yes,yes,25.0,USA,m,single,n,24h,at_least_one_hour
5,95197,Spending time with daughter coloring was nice.,family,yes,yes,36,USA,f,married,y,3m,at_least_one_hour
6,30629,seeing my brother whom I have not seen for over a yer,family,yes,yes,60.0,USA,f,married,y,24h,all_day_im_still_feeling_it
7,68990,"This past month I have rekindled multiple old friendships which I had feared would fade with me moving out of state, but I was able to reunite with my closest comrades.",conversation,yes,yes,24,USA,m,single,n,3m,all_day_im_still_feeling_it
8,110732,An event that made me happy was hearing a song that i had not heard since my high school years.,education,yes,no,60,USA,m,married,y,24h,half_a_day
9,45028,I got a raise from my boss by 2%.,career,yes,yes,27,CAN,m,single,n,24h,half_a_day
10,62871,I finally saved enough money to be able to purchase an appliance for my kitchen that I have wanted for a very long time,shopping,yes,no,60.0,USA,f,married,y,3m,all_day_im_still_feeling_it
11,104991,"I did the FitBit Goal Day Challenge yesterday, hit my goal of 10,000 steps and won a trophy and a badge.",exercise,yes,no,30,USA,f,married,y,3m,all_day_im_still_feeling_it
12,73715,MY UNCLE LIVED IN MUMBAI...WHEN I RECEIVE A CALL FORM HIM I FELT VERY HAPPY,conversation,no,yes,25,IND,m,single,n,3m,half_a_day
13,67428,"Two days ago my brother helped me install solar film on all of the windows of my home, the culmination of many weeks of planning.",family,yes,yes,50,USA,m,single,n,3m,all_day_im_still_feeling_it
14,91931,When i purchased a new Smartphone it made me very happy as its having all latest features and bigger screen size than my previous one.I was so happy that i had ordered food from restaurant to celebrate my happiness.,food|shopping,yes,yes,29.0,IND,m,married,y,3m,half_a_day
15,92857,Hearing my daughter play on her new ukulele.,family|entertainment,no,yes,52.0,USA,f,married,y,3m,half_a_day
16,74316,I got commended for a job well done at work and the manager said I was doing great.,career,no,yes,32.0,USA,m,single,n,3m,at_least_one_hour
17,57347,Playing fetch with my dog in the backyard.,animals,yes,no,28,USA,f,single,n,24h,a_few_minutes
18,77418,I went to a local soccer match with a few friends.,entertainment,yes,yes,30,USA,m,married,n,3m,at_least_one_hour
19,94203,When Fargo returned to TV a couple weeks ago that made me happy.,entertainment,no,no,35.0,USA,m,single,n,3m,at_least_one_hour
20,78719,I found an Android app that can make free texts over WiFi.,technology,yes,no,43,USA,f,single,n,3m,all_day_im_still_feeling_it
