hmid,agency,social
0,yes,yes
1,yes,no
2,yes,no
3,yes,yes
4,no,yes
5,yes,yes
6,yes,no
8,yes,yes
12,yes,no
13,yes,no
14,yes,yes
18,no,yes
21,yes,no
22,no,yes
23,no,yes
24,yes,no
25,yes,no
26,yes,no
27,yes,yes
28,yes,yes
29,yes,no
30,yes,no
31,yes,no
32,yes,yes
33,no,yes
34,yes,yes
35,yes,no
36,yes,yes
37,no,yes
38,yes,no
39,yes,no
40,yes,no
41,yes,no
42,yes,no
43,no,yes
44,yes,yes
45,yes,no
46,no,no
47,yes,no
48,yes,no
49,no,no
50,yes,yes
51,yes,yes
52,no,yes
53,yes,no
54,yes,yes
55,no,yes
56,yes,yes
60,no,yes
61,no,yes
62,no,yes
66,yes,no
67,yes,no
68,yes,no
69,yes,yes
70,yes,yes
71,yes,yes
72,yes,no
73,no,yes
75,yes,no
76,yes,no
77,yes,no
81,yes,yes
82,yes,yes
83,yes,yes
84,yes,yes
85,yes,no
86,yes,no
87,yes,no
88,yes,yes
91,yes,yes
92,no,yes
95,no,yes
97,yes,no
99,yes,no
100,yes,no
101,yes,no
105,yes,yes
108,yes,no
109,yes,no
110,yes,yes
111,yes,yes
112,no,yes
113,yes,no
114,no,yes
115,yes,yes
116,yes,yes
117,yes,no
118,yes,no
119,yes,no
120,yes,no
121,yes,no
126,yes,no
127,no,no
128,yes,yes
129,yes,yes
130,no,no
131,no,yes
132,yes,yes
133,no,yes
134,no,no
135,yes,yes
136,yes,no
138,no,yes
139,no,yes
140,no,yes
141,yes,no
142,yes,no
143,yes,yes
144,no,yes
145,yes,yes
146,no,no
147,yes,no
148,yes,no
149,yes,no
150,yes,yes
151,yes,no
152,yes,no
155,no,yes
156,no,yes
157,yes,yes
158,yes,yes
159,yes,no
160,yes,yes
162,no,yes
163,no,yes
164,yes,no
165,yes,no
166,yes,no
167,yes,no
168,yes,no
169,yes,no
170,yes,no
171,yes,no
172,yes,yes
173,yes,yes
174,yes,yes
175,no,no
176,yes,yes
177,yes,yes
178,yes,yes
179,no,yes
180,no,yes
181,yes,no
182,yes,no
183,yes,yes
184,yes,yes
185,yes,no
186,yes,yes
187,no,yes
188,no,yes
189,yes,no
190,yes,yes
191,yes,no
192,no,yes
193,yes,no
194,yes,no
195,yes,no
196,yes,no
197,yes,no
198,no,yes
199,yes,no
201,yes,yes
204,yes,yes
205,yes,yes
206,yes,yes
207,yes,yes
208,yes,yes
209,yes,yes
216,yes,yes
217,yes,no
218,yes,no
219,yes,no
220,yes,no
221,yes,yes
222,no,yes
223,yes,yes
224,yes,yes
228,no,yes
229,yes,no
230,no,yes
231,yes,no
232,yes,no
233,yes,yes
234,yes,no
235,yes,no
236,yes,yes
237,no,yes
238,no,yes
239,yes,no
240,yes,yes
241,yes,no
242,yes,no
243,yes,yes
244,yes,yes
245,no,yes
246,no,yes
247,no,yes
248,no,yes
249,yes,no
250,yes,no
251,yes,no
252,yes,no
253,yes,no
254,no,yes
255,yes,no
256,no,yes
257,no,yes
258,no,yes
259,yes,no
260,yes,no
261,yes,yes
262,yes,yes
263,yes,no
264,no,yes
265,no,yes
266,yes,no
267,no,yes
268,yes,no
269,yes,no
270,yes,yes
271,yes,yes
272,yes,yes
276,yes,yes
277,yes,no
278,yes,no
279,yes,no
282,yes,yes
283,yes,no
284,yes,yes
285,yes,yes
286,no,yes
287,yes,no
288,no,yes
289,no,yes
290,yes,yes
291,yes,no
292,yes,yes
293,yes,no
297,yes,no
301,no,yes
302,yes,no
303,no,yes
304,yes,yes
305,yes,no
306,yes,no
307,yes,yes
308,yes,yes
309,yes,no
310,yes,no
311,yes,yes
312,no,yes
313,yes,yes
314,yes,yes
315,no,yes
316,yes,no
317,yes,yes
319,yes,no
320,yes,yes
321,no,yes
322,yes,no
323,yes,no
327,no,yes
328,yes,no
329,yes,no
330,yes,yes
331,yes,yes
332,yes,yes
333,no,no
334,yes,yes
335,yes,no
337,no,yes
338,no,yes
340,yes,no
341,yes,yes
342,yes,yes
343,yes,no
344,yes,no
346,yes,no
347,yes,no
348,no,yes
349,no,yes
350,yes,no
351,no,yes
352,yes,no
353,yes,no
354,yes,no
355,no,yes
356,yes,no
363,no,no
364,no,yes
365,yes,no
366,no,yes
367,no,yes
368,yes,no
369,yes,no
370,yes,no
371,yes,no
372,yes,yes
373,yes,yes
374,yes,yes
375,no,no
376,yes,no
381,no,yes
382,yes,no
383,yes,no
384,yes,no
385,no,yes
386,yes,no
388,yes,no
390,yes,yes
391,yes,yes
392,yes,yes
393,yes,yes
394,yes,yes
395,no,yes
396,no,yes
397,yes,no
398,yes,yes
399,yes,no
400,no,yes
401,yes,no
405,yes,yes
406,yes,no
407,yes,no
408,no,yes
409,yes,yes
410,no,no
411,yes,yes
412,yes,yes
413,yes,yes
414,yes,no
415,yes,yes
416,yes,no
417,yes,yes
418,yes,no
419,yes,no
421,no,yes
422,no,yes
423,no,no
424,yes,yes
425,yes,yes
429,yes,yes
430,yes,no
431,yes,no
433,no,yes
434,yes,yes
435,yes,no
436,yes,no
437,yes,no
441,no,yes
442,no,yes
443,no,yes
448,yes,no
449,yes,no
450,yes,no
451,no,yes
452,yes,no
455,yes,no
456,yes,yes
457,yes,yes
458,yes,yes
460,yes,no
461,yes,yes
462,yes,yes
465,yes,yes
466,yes,yes
467,yes,yes
468,yes,yes
469,yes,no
470,yes,no
471,yes,yes
472,yes,yes
473,yes,yes
474,yes,no
475,yes,no
476,no,yes
477,yes,no
478,yes,yes
479,yes,yes
480,no,no
481,yes,no
482,yes,no
483,yes,yes
484,yes,no
485,no,yes
487,no,yes
488,yes,yes
489,no,no
490,no,yes
491,yes,no
492,yes,no
493,yes,no
494,yes,yes
498,yes,no
499,yes,no
500,yes,no
501,yes,yes
502,yes,yes
503,yes,no
504,yes,no
505,yes,yes
506,no,yes
507,yes,yes
508,yes,no
509,yes,no
514,yes,no
515,yes,no
517,no,yes
519,no,yes
520,yes,no
521,yes,yes
522,no,yes
524,yes,no
525,yes,yes
526,no,yes
527,yes,yes
532,yes,no
533,no,yes
534,yes,no
535,no,yes
536,no,yes
537,no,yes
538,yes,no
539,yes,no
540,yes,yes
541,yes,no
542,yes,no
543,yes,no
544,yes,no
545,yes,no
546,yes,yes
547,yes,yes
548,yes,no
549,yes,no
550,yes,yes
551,no,no
558,yes,no
559,yes,no
560,yes,no
561,yes,yes
563,no,yes
567,no,yes
570,yes,yes
571,yes,no
572,yes,no
573,yes,yes
574,yes,no
575,no,yes
576,yes,no
577,yes,no
578,yes,no
579,yes,yes
580,yes,yes
582,yes,no
583,yes,yes
584,yes,yes
585,yes,yes
586,no,yes
587,yes,no
588,yes,yes
589,no,yes
590,no,yes
591,yes,no
592,yes,yes
593,yes,yes
594,yes,yes
595,yes,no
596,yes,no
597,no,no
598,yes,no
599,no,no
600,yes,yes
601,yes,no
602,yes,no
606,yes,no
607,yes,no
608,no,yes
612,yes,yes
613,yes,no
614,yes,no
615,yes,no
616,yes,no
617,no,yes
618,yes,no
620,yes,no
621,yes,no
622,yes,no
623,yes,no
624,no,yes
625,yes,no
626,yes,no
627,yes,no
628,yes,yes
629,yes,no
630,yes,yes
631,yes,yes
632,yes,yes
633,yes,yes
634,yes,no
635,no,yes
636,yes,yes
637,yes,yes
638,yes,yes
639,yes,no
640,no,no
641,yes,no
645,no,yes
646,yes,no
647,yes,no
648,no,yes
649,no,yes
650,yes,no
653,yes,no
654,no,yes
655,no,yes
656,yes,no
658,no,yes
659,yes,no
660,yes,yes
661,yes,no
662,yes,no
663,yes,no
664,no,yes
665,yes,yes
669,yes,yes
670,yes,yes
671,yes,no
672,yes,yes
675,yes,no
676,yes,no
677,yes,no
678,yes,no
679,yes,no
680,no,yes
681,no,no
682,no,no
683,no,no
685,yes,yes
689,yes,no
690,yes,yes
691,yes,yes
692,no,yes
696,yes,yes
697,yes,no
698,yes,yes
699,yes,no
700,no,no
702,yes,yes
703,yes,yes
704,yes,no
705,yes,no
706,no,yes
707,no,yes
708,yes,yes
714,yes,yes
715,yes,yes
716,yes,no
717,no,yes
718,yes,yes
719,yes,no
721,yes,yes
723,yes,no
728,yes,yes
729,yes,yes
730,yes,no
731,yes,no
732,yes,no
733,yes,no
734,yes,yes
735,yes,no
736,yes,yes
737,yes,no
738,yes,yes
739,yes,no
740,yes,no
741,yes,no
742,yes,yes
743,yes,no
748,yes,no
749,yes,no
750,yes,no
751,yes,no
752,yes,no
753,yes,yes
754,yes,no
755,yes,no
756,no,yes
757,yes,yes
758,yes,yes
759,no,no
760,yes,no
761,no,yes
765,no,yes
766,yes,no
767,yes,no
768,yes,no
769,no,yes
770,yes,yes
771,yes,yes
772,yes,yes
773,yes,no
774,yes,no
782,yes,yes
783,yes,no
784,yes,yes
785,yes,yes
786,no,yes
787,no,yes
788,yes,no
792,no,yes
793,yes,yes
794,no,no
795,yes,no
796,no,yes
797,no,yes
798,yes,no
799,yes,no
800,yes,no
801,yes,yes
802,yes,no
803,yes,no
804,yes,yes
805,yes,yes
806,yes,no
807,yes,yes
808,no,yes
809,no,yes
810,yes,yes
811,yes,no
812,no,yes
813,no,yes
814,no,yes
815,yes,no
818,no,yes
820,no,yes
821,no,yes
822,yes,no
823,yes,no
824,yes,no
825,yes,no
826,yes,yes
827,yes,yes
828,no,yes
829,no,yes
